 , y 
-0.004690223,742
-0.009779351,743
1.79E-04,744
0.008096084,745
0.002833588,746
-0.006041009,747
-0.004829599,748
0.003727758,749
0.005984383,750
-0.001259819,751
-0.006363656,752
-0.001259819,753
0.005984383,754
0.003727758,755
-0.004829599,756
-0.006041009,757
0.002833588,758
0.008096084,759
1.79E-04,760
-0.009779351,761
-0.004690223,762
0.010915805,763
0.012264694,764
-0.010907649,765
-0.030776504,766
9.92E-04,767
0.5,768
0.999008173,769
1.030776504,770
1.010907649,771
0.987735306,772
0.989084195,773
1.004690223,774
1.009779351,775
0.999820719,776
0.991903916,777
0.997166412,778
1.006041009,779
1.004829599,780
0.996272242,781
0.994015617,782
1.001259819,783
1.006363656,784
1.001259819,785
0.994015617,786
0.996272242,787
1.004829599,788
1.006041009,789
0.997166412,790
0.991903916,791
0.999820719,792
1.009779351,793
1.004690223,794
0.989084195,795
0.987735306,796
1.010907649,797
1.030776504,798
0.999008173,799
0.5,800
9.92E-04,801
-0.030776504,802
-0.010907649,803
0.012264694,804
0.010915805,805
-0.004690223,806
-0.009779351,807
1.79E-04,808
0.008096084,809
0.002833588,810
-0.006041009,811
-0.004829599,812
0.003727758,813
0.005984383,814
-0.001259819,815
-0.006363656,816
-0.001259819,817
0.005984383,818
0.003727758,819
-0.004829599,820
-0.006041009,821
0.002833588,822
0.008096084,823
1.79E-04,824
-0.009779351,825
-0.004690223,826
0.010915805,827
0.012264694,828
-0.010907649,829
-0.030776504,830
9.92E-04,831
0.5,832
0.999008173,833
1.030776504,834
1.010907649,835
0.987735306,836
0.989084195,837
1.004690223,838
1.009779351,839
0.999820719,840
0.991903916,841
0.997166412,842
1.006041009,843
1.004829599,844
0.996272242,845
0.994015617,846
1.001259819,847
1.006363656,848
1.001259819,849
0.994015617,850
0.996272242,851
1.004829599,852
1.006041009,853
0.997166412,854
0.991903916,855
0.999820719,856
1.009779351,857
1.004690223,858
0.989084195,859
0.987735306,860
1.010907649,861
1.030776504,862
0.999008173,863
0.5,864
9.92E-04,865
-0.030776504,866
-0.010907649,867
0.012264694,868
0.010915805,869
-0.004690223,870
-0.009779351,871
1.79E-04,872
0.008096084,873
0.002833588,874
-0.006041009,875
-0.004829599,876
0.003727758,877
0.005984383,878
